"Designator","MidX_mm","MidY_mm","Rotation_deg","Layer","CoordinateConvention"
"C3","-6.55","10.45","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C4","6.45","9.7","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C5","-10.8","7.95","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C6","-10.55","9.7","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C7","-1.8","-9.3","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C8","-6.3","-9.05","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C9","-4.8","-6.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C10","0.2","-10.55","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C11","1.45","-3.3","180","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C12","6.7","-0.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C13","3.95","-6.3","0","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C14","9.95","5.95","270","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C15","6.45","2.95","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C16","10.7","-5.8","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C17","-5.55","-2.05","360","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
"C18","-2.05","-12.3","90","Top","Board centre origin; positive Y toward necklace loop; counterclockwise degrees; assembler zero-angle verification required"
