Reference,Quantity,MPN,Value,NativeFootprint,AssemblyStatus
R3,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R3,Candidate; dense assembly and supplier qualification pending
R4,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R4,Candidate; dense assembly and supplier qualification pending
R5,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R5,Candidate; dense assembly and supplier qualification pending
R6,1,RC0402FR-074K7L,4.7k,AURA_PCB:A03_R6,Candidate; dense assembly and supplier qualification pending
R7,1,RC0402FR-074K7L,4.7k,AURA_PCB:A03_R7,Candidate; dense assembly and supplier qualification pending
R8,1,RC0402FR-07100KL,100k,AURA_PCB:A03_R8,Candidate; dense assembly and supplier qualification pending
R9,1,RC0402FR-07100KL,100k,AURA_PCB:A03_R9,Candidate; dense assembly and supplier qualification pending
R10,1,RC0402FR-07100KL,100k,AURA_PCB:A03_R10,Candidate; dense assembly and supplier qualification pending
R11,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R11,Candidate; dense assembly and supplier qualification pending
R13,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R13,Candidate; dense assembly and supplier qualification pending
R14,1,RC0402FR-071KL,1k,AURA_PCB:A03_R14,Candidate; dense assembly and supplier qualification pending
R15,1,RC0402FR-07100KL,100k,AURA_PCB:A03_R15,Candidate; dense assembly and supplier qualification pending
R16,1,RC0402FR-0733RL,33,AURA_PCB:A03_R16,Candidate; dense assembly and supplier qualification pending
R17,1,RC0402FR-0733RL,33,AURA_PCB:A03_R17,Candidate; dense assembly and supplier qualification pending
R18,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R18,Candidate; dense assembly and supplier qualification pending
R19,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R19,Candidate; dense assembly and supplier qualification pending
R20,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R20,Candidate; dense assembly and supplier qualification pending
R21,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R21,Candidate; dense assembly and supplier qualification pending
R22,1,RC0402FR-073K3L,3.3k,AURA_PCB:A03_R22,Candidate; dense assembly and supplier qualification pending
R23,1,RC0402FR-0710KL,10k,AURA_PCB:A03_R23,Candidate; dense assembly and supplier qualification pending
C1,1,C0402C104K4RACTU,100nF,AURA_PCB:A03_C1,Candidate; dense assembly and supplier qualification pending
C2,1,C0603C475K8PACTU,4.7uF,AURA_PCB:A03_C2,Candidate; dense assembly and supplier qualification pending
C3,1,939113424610-T3N,100nF silicon,AURA_PCB:A03_C3,Candidate; dense assembly and supplier qualification pending
C4,1,939113424610-T3N,100nF silicon,AURA_PCB:A03_C4,Candidate; dense assembly and supplier qualification pending
C5,1,C0402C104K4RACTU,100nF,AURA_PCB:A03_C5,Candidate; dense assembly and supplier qualification pending
C6,1,C0603C475K8PACTU,4.7uF,AURA_PCB:A03_C6,Candidate; dense assembly and supplier qualification pending
C7,1,C0603C225K8RACTU,2.2uF,AURA_PCB:A03_C7,Candidate; dense assembly and supplier qualification pending
C8,1,C0603C475K8PACTU,4.7uF,AURA_PCB:A03_C8,Candidate; dense assembly and supplier qualification pending
C9,1,C0805C106K8PACTU,10uF,AURA_PCB:A03_C9,Candidate; dense assembly and supplier qualification pending
C10,1,C0603C225K8RACTU,2.2uF,AURA_PCB:A03_C10,Candidate; dense assembly and supplier qualification pending
C11,1,C0402C104K4RACTU,100nF,AURA_PCB:A03_C11,Candidate; dense assembly and supplier qualification pending
C12,1,C0603C105K4RACTU,1uF,AURA_PCB:A03_C12,Candidate; dense assembly and supplier qualification pending
C13,1,C0603C105K4RACTU,1uF,AURA_PCB:A03_C13,Candidate; dense assembly and supplier qualification pending
C14,1,C0603C105K4RACTU,1uF,AURA_PCB:A03_C14,Candidate; dense assembly and supplier qualification pending
C15,1,C0603C105K4RACTU,1uF,AURA_PCB:A03_C15,Candidate; dense assembly and supplier qualification pending
C16,1,C0402C104K4RACTU,100nF,AURA_PCB:A03_C16,Candidate; dense assembly and supplier qualification pending
C17,1,C0402C103K5RACTU,10nF,AURA_PCB:A03_C17,Candidate; dense assembly and supplier qualification pending
C18,1,C0402C104K4RACTU,100nF,AURA_PCB:A03_C18,Candidate; dense assembly and supplier qualification pending
