# name	kind	hex
device_id	context	11111111111111111111111111111111
open.select	fragment23	010003009000c300acb54b37721b99c248a9dc1d
open.select	fragment23	010003009c00c30022538332a026668bf1355ca2
open.select	fragment23	01000300a800c300e414a28e0000000000001a8f
open.select	fragment23	01000300b400c300000000000000012b00000000
open.select	fragment23	01000300c000c300000000
open.select	fragment517	010003000000c300000303000100000041555233030201001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd803e000040012800007d0000010300000000000000000000a096855f41434b3303001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd6d0100004c6900000000000000c7010000000000001cb88da352f158b76facb54b37721b99c248a9dc1d22538332a026668bf1355ca2e414a28e0000000000001a8f000000000000012b00000000000000
open.read	command	010404000100000000000000000000008000
open.read	response	00040400010000000000000000000000610041555233030201001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd803e000040012800007d0000010300000000000000000000a096855f41465233030100000000000000000000000040010300b8fffea27c5444b7206c50
open.finish	command	01052c01010000001a8f000000000000
open.finish	response	00052c010100000041434b3303001111111111111111111111111111111124d4008368e06638e90b89d68d221fbd6d0100004c6900000000000000c7010000000000001cb88da352f158b76facb54b37721b99c248a9dc1d22538332a026668bf1355ca2e4141a8f000000000000012b00000000000000
open.read-eof	command	01042d01010000001a8f0000000000000001
open.read-eof	response	00042d01010000001a8f000000000000000000000000
open.cancel	command	01062e0101000000
open.cancel	response	00062e0101000000
